MOT.Q0,MOT.Q1,MOT.Q3,Label
0.702946,0.006409,0.035522,1
0.809637,0.084839,-0.024231,1
0.56832,-0.196106,-0.330383,1
0.649769,0.098206,-0.107239,0
0.66175,0.105591,-0.140564,0
0.656033,0.06488,-0.093567,0
0.683388,0.055359,-0.11615,0
0.644245,0.054138,-0.091064,0
0.724104,0.064453,-0.141785,0
0.67491,-0.005432,-0.166931,0
0.331619,-0.542603,-0.611267,2
0.820739,-0.007446,-0.199524,0
0.501955,-0.188538,-0.179871,1
0.617371,-0.194702,-0.355652,1
0.331867,-0.542419,-0.611389,2
0.322858,-0.543457,-0.614624,2
0.331049,-0.541931,-0.613342,2
0.650961,0.046509,-0.095459,0
0.660538,-0.067322,0.05603,1
0.31096,-0.566833,-0.644958,2
0.834997,-0.005371,-0.24115,0
0.329163,-0.540649,-0.613708,2
0.675781,-0.032959,0.066711,1
0.331409,-0.542847,-0.612244,2
0.323062,-0.54248,-0.615051,2
0.64933,-0.016479,-0.170227,0
0.516964,-0.081848,-0.26709,1
0.487785,-0.042908,-0.228516,1
0.536586,-0.200989,-0.302429,1
0.679569,-0.050232,-0.309937,1
0.323023,-0.54187,-0.615234,2
0.71478,0.042908,-0.167603,0
0.310496,-0.565002,-0.645203,2
0.312714,-0.566162,-0.644043,2
0.740321,0.060303,-0.158997,0
0.329645,-0.54126,-0.613708,2
0.309662,-0.564758,-0.646667,2
0.635167,-0.080566,-0.30542,1
0.483807,-0.171509,-0.18396,1
0.331555,-0.542542,-0.61145,2
0.700855,-0.007629,0.049438,1
0.678223,-0.03064,0.062317,1
0.688412,-0.013245,-0.159424,0
0.642376,0.059753,-0.114075,0
0.754563,0.076904,-0.067566,1
0.66536,-0.080322,-0.304565,1
0.689785,-0.019958,0.015564,1
0.638775,-0.204712,-0.36261,1
0.695943,0.03363,-0.101563,0
0.873114,-0.046936,-0.180786,0
0.608549,-0.126892,-0.293457,1
0.771913,0.029724,-0.174255,0
0.674896,-0.059814,-0.329895,1
0.756656,-0.013672,0.03186,1
0.323693,-0.541443,-0.61554,2
0.312799,-0.56604,-0.644958,2
0.876334,-0.026184,-0.19165,0
